timestamp, frame, x, y, z, qx, qy, qz, qw
329966.693863416, 000000, -0.12130003, -0.17644939, -0.0098909885, -0.13810878, 0.51938814, -0.6770614, 0.5027423
329966.727202916, 000001, -0.12151416, -0.17664471, -0.009827524, -0.13894476, 0.51947063, -0.6764654, 0.5032288
329966.760539375, 000002, -0.12152992, -0.17682663, -0.010041564, -0.13961023, 0.51935655, -0.6760405, 0.50373304
329966.793878625, 000003, -0.12116283, -0.17721069, -0.0103778755, -0.13946474, 0.51944226, -0.67603105, 0.50369763
329966.827215166, 000004, -0.120800905, -0.17761996, -0.010708675, -0.13837169, 0.5192444, -0.67635465, 0.50376874
329966.860555208, 000005, -0.120429404, -0.1779204, -0.011029369, -0.13755718, 0.5190936, -0.67658675, 0.5038355
329966.893892583, 000006, -0.12014145, -0.17797498, -0.0112910615, -0.13720828, 0.5190163, -0.67683315, 0.5036792
329966.927234833, 000007, -0.12001833, -0.17788503, -0.011350572, -0.13716121, 0.5190199, -0.676877, 0.5036295
329966.960572666, 000008, -0.12002141, -0.17769165, -0.011469065, -0.13738793, 0.5187881, -0.6767995, 0.5039105
329966.993909, 000009, -0.120005116, -0.17747535, -0.011558949, -0.13760732, 0.518566, -0.6766899, 0.5042264
329967.027249833, 000010, -0.120048, -0.1772103, -0.011772692, -0.13747963, 0.5180852, -0.67711556, 0.50418395
329967.060588166, 000011, -0.11978883, -0.17712241, -0.011890656, -0.13730825, 0.5177336, -0.677694, 0.50381464
329967.0939255, 000012, -0.119323336, -0.17721671, -0.011955298, -0.13732307, 0.51784265, -0.6781425, 0.50309443
329967.127266541, 000013, -0.118818276, -0.17736594, -0.012054234, -0.13696699, 0.5180569, -0.67865384, 0.50228065
329967.160605375, 000014, -0.118529715, -0.17758027, -0.012140787, -0.13674836, 0.5182456, -0.67890453, 0.5018066
329967.193942, 000015, -0.11848358, -0.17777634, -0.01224979, -0.13663724, 0.5183269, -0.6789309, 0.50171727
329967.227282708, 000016, -0.1186341, -0.17794687, -0.01228518, -0.13634843, 0.5181382, -0.6789068, 0.5020233
329967.26062175, 000017, -0.119039774, -0.17809135, -0.012293569, -0.13607031, 0.5177487, -0.67876196, 0.5026959
329967.293958833, 000018, -0.11939507, -0.17823252, -0.012098379, -0.13541947, 0.51755524, -0.67870426, 0.5031488
329967.32729925, 000019, -0.11964639, -0.17841299, -0.01200614, -0.13523155, 0.51772016, -0.67829, 0.5035881
329967.360635833, 000020, -0.1198155, -0.17847683, -0.011878348, -0.1353151, 0.5178495, -0.6779957, 0.5038289
329967.393975625, 000021, -0.119794115, -0.1784769, -0.011720747, -0.13545865, 0.51825416, -0.67793787, 0.5034518
329967.4273155, 000022, -0.11968577, -0.17863396, -0.0118557885, -0.13605212, 0.51862967, -0.67792577, 0.5029211
329967.460653833, 000023, -0.11953108, -0.17860398, -0.011970632, -0.13621281, 0.518888, -0.67823714, 0.50219107
329967.493991541, 000024, -0.119503826, -0.1784569, -0.012214161, -0.13655433, 0.5187964, -0.6784813, 0.50186306
329967.527333, 000025, -0.11937732, -0.1780611, -0.012351826, -0.13671485, 0.51824015, -0.67900443, 0.50168633
329967.56067225, 000026, -0.119204804, -0.17767379, -0.012385598, -0.13655636, 0.5180628, -0.67932403, 0.5014799
329967.594006916, 000027, -0.11920906, -0.17721003, -0.012473344, -0.13672176, 0.51777864, -0.67940575, 0.50161755
329967.62734875, 000028, -0.119184166, -0.17675665, -0.012551448, -0.13683473, 0.5174621, -0.6794883, 0.5018017
329967.66068875, 000029, -0.11928522, -0.17640021, -0.012574486, -0.13711616, 0.5174131, -0.67941797, 0.5018705
329967.694024416, 000030, -0.119384766, -0.17607838, -0.012621782, -0.13724269, 0.51715124, -0.6796867, 0.50174206
329967.727364958, 000031, -0.11959044, -0.17586026, -0.012563452, -0.13722931, 0.51712793, -0.6800176, 0.5013211
329967.760702791, 000032, -0.11998927, -0.17577535, -0.01240959, -0.1374734, 0.51713777, -0.67998755, 0.501285
329967.794046083, 000033, -0.12031215, -0.17578286, -0.012099624, -0.13724326, 0.51717556, -0.6799874, 0.5013092
329967.827380541, 000034, -0.12063811, -0.17586151, -0.011709586, -0.1370912, 0.5173644, -0.67964494, 0.50162023
329967.860723875, 000035, -0.12093587, -0.17580788, -0.0114058545, -0.13716862, 0.5174803, -0.679445, 0.5017502
329967.894056541, 000036, -0.12109226, -0.17564073, -0.011199958, -0.13712937, 0.51752454, -0.6797306, 0.50132847
329967.927396833, 000037, -0.121336915, -0.17544094, -0.011085331, -0.13746704, 0.51758945, -0.679734, 0.5011643
329967.960736333, 000038, -0.12154562, -0.175239, -0.011118128, -0.13773564, 0.51740617, -0.679906, 0.5010465
329967.994072583, 000039, -0.1216816, -0.17515938, -0.011139899, -0.13754436, 0.5169958, -0.6803515, 0.5009178
329968.027414208, 000040, -0.121965125, -0.17528251, -0.011036321, -0.13754652, 0.5171628, -0.6799467, 0.5012944
329968.060752541, 000041, -0.12227651, -0.1752895, -0.011039703, -0.13746715, 0.51697034, -0.67996514, 0.5014896
329968.094088583, 000042, -0.122509226, -0.17514792, -0.010992259, -0.13736662, 0.5168303, -0.6802796, 0.501235
329968.127430083, 000043, -0.12297981, -0.17487225, -0.01086206, -0.13800654, 0.516879, -0.6796779, 0.5018248
329968.1607675, 000044, -0.123410806, -0.17428043, -0.01087859, -0.13954091, 0.5165733, -0.6788996, 0.502768
329968.1941055, 000045, -0.12323094, -0.17377168, -0.010937764, -0.14137161, 0.5173151, -0.67792815, 0.5028047
329968.227445958, 000046, -0.12241018, -0.17356902, -0.010937378, -0.14246655, 0.5189011, -0.677676, 0.5011987
329968.26078475, 000047, -0.12131525, -0.17314403, -0.011104419, -0.14258488, 0.5195637, -0.6795237, 0.4979665
329968.294122208, 000048, -0.120287865, -0.17253962, -0.011626056, -0.14310779, 0.5193092, -0.68224865, 0.4943428
329968.327462125, 000049, -0.11949813, -0.17219028, -0.011741199, -0.14277455, 0.51967984, -0.6846142, 0.49076647
329968.360802166, 000050, -0.119050965, -0.17222655, -0.011689551, -0.14288205, 0.52096826, -0.6854629, 0.4881776
329968.394141541, 000051, -0.11956885, -0.17238411, -0.011746094, -0.14418301, 0.5217242, -0.6846969, 0.48806283
329968.427476833, 000052, -0.120607994, -0.17270447, -0.011411018, -0.14452064, 0.5222755, -0.684257, 0.4879902
329968.460818458, 000053, -0.122031525, -0.17346512, -0.0102975415, -0.14304462, 0.5232379, -0.6841956, 0.48747993
329968.494155625, 000054, -0.12427967, -0.17450601, -0.008606828, -0.14230628, 0.5238658, -0.6826542, 0.4891796
329968.527495958, 000055, -0.12613302, -0.17471565, -0.0071334713, -0.14221245, 0.5238758, -0.68191713, 0.49022338
329968.560834583, 000056, -0.12696344, -0.17411044, -0.005715981, -0.14409268, 0.52466047, -0.6815698, 0.48931715
329968.594170458, 000057, -0.12722965, -0.17307308, -0.0043971078, -0.14539482, 0.5254063, -0.6820266, 0.4874917
329968.627514125, 000058, -0.12803642, -0.17174944, -0.0036742303, -0.14493096, 0.52418923, -0.6841073, 0.48602247
329968.660850458, 000059, -0.1289498, -0.17026791, -0.0031121722, -0.14550772, 0.5227085, -0.68552285, 0.48545
329968.694187333, 000060, -0.12936275, -0.16887733, -0.0023034662, -0.14582139, 0.5222956, -0.6865289, 0.48437735
329968.727529458, 000061, -0.12965915, -0.16777764, -0.0014627192, -0.14576572, 0.5226289, -0.68686885, 0.48355198
329968.760866208, 000062, -0.13068111, -0.16677529, -0.00083147734, -0.14683375, 0.52242315, -0.6858787, 0.48485503
329968.794203791, 000063, -0.13191918, -0.16584052, -0.00043805927, -0.14823027, 0.5217343, -0.6849341, 0.48650432
329968.827548458, 000064, -0.13266055, -0.16489178, -0.0003510627, -0.14934792, 0.52128416, -0.6849495, 0.48662314
329968.860881541, 000065, -0.13291037, -0.16439226, 9.277463e-05, -0.15026513, 0.52168, -0.6850045, 0.4858387
329968.894219458, 000066, -0.13288416, -0.16428405, 0.0008158088, -0.15133531, 0.5232562, -0.6847189, 0.48421136
329968.927560958, 000067, -0.13323215, -0.16383654, 0.0013961941, -0.1534051, 0.52431023, -0.6848401, 0.48224446
329968.960898291, 000068, -0.13313074, -0.16351862, 0.0020017934, -0.15697987, 0.5265587, -0.6836496, 0.4803295
329968.994237791, 000069, -0.13267109, -0.16324878, 0.0023275241, -0.15895796, 0.5288689, -0.68316144, 0.47782892
329969.027575375, 000070, -0.13238157, -0.16280614, 0.0025778722, -0.16085006, 0.5307158, -0.68287235, 0.47555557
329969.060914041, 000071, -0.13213846, -0.1627595, 0.0028578662, -0.16237246, 0.53273, -0.68215346, 0.47381473
329969.094253166, 000072, -0.13169909, -0.16307542, 0.0033933457, -0.16257319, 0.53508306, -0.68153423, 0.47198212
329969.127593083, 000073, -0.13175197, -0.16330987, 0.0040665506, -0.16296355, 0.53719723, -0.6804218, 0.47105002
329969.160931125, 000074, -0.13236752, -0.16349052, 0.004859978, -0.16448449, 0.5393887, -0.678285, 0.47109878
329969.194268666, 000075, -0.133294, -0.16333725, 0.0056686564, -0.16565259, 0.5409478, -0.67678696, 0.47105625
329969.227610333, 000076, -0.13398051, -0.16310976, 0.0065221726, -0.16717313, 0.54270065, -0.6755607, 0.47026244
329969.260953458, 000077, -0.13448806, -0.16287246, 0.007353641, -0.16885254, 0.544449, -0.6744316, 0.46926123
329969.294286083, 000078, -0.13487233, -0.1625253, 0.007939742, -0.17025767, 0.5451122, -0.67423695, 0.4682623
329969.327629833, 000079, -0.13478673, -0.16232769, 0.008739539, -0.17149363, 0.54676914, -0.6738514, 0.4664308
329969.360985916, 000080, -0.13448869, -0.16231823, 0.009841241, -0.17273809, 0.5492716, -0.6731167, 0.46408644
329969.394303958, 000081, -0.13389291, -0.16246282, 0.01123141, -0.1740424, 0.55147374, -0.67270124, 0.46158296
329969.427643625, 000082, -0.13342893, -0.16238609, 0.012810365, -0.17532428, 0.55322737, -0.67279804, 0.45885035
329969.460982541, 000083, -0.13317494, -0.16201052, 0.014407478, -0.17788447, 0.555014, -0.67206657, 0.45677468
329969.494319416, 000084, -0.13315263, -0.16128647, 0.01554075, -0.18115713, 0.55583704, -0.6712371, 0.45570594
329969.527657916, 000085, -0.1331248, -0.16068599, 0.016757535, -0.18420683, 0.5567189, -0.6707556, 0.45411322
329969.560998833, 000086, -0.13303153, -0.16020066, 0.018212967, -0.18706577, 0.5584628, -0.67019534, 0.45162368
329969.594336625, 000087, -0.13277817, -0.15962413, 0.02002985, -0.19069634, 0.56148684, -0.6689722, 0.44815576
329969.62767625, 000088, -0.13240665, -0.15931116, 0.022059845, -0.19469643, 0.56508857, -0.6672152, 0.44451317
329969.661013708, 000089, -0.13196504, -0.15927488, 0.024230063, -0.19751613, 0.56843174, -0.6660472, 0.44074237
329969.694351208, 000090, -0.13164921, -0.15956387, 0.02656267, -0.19949044, 0.5716421, -0.66503114, 0.4372212
329969.727693583, 000091, -0.13160585, -0.16022345, 0.028640084, -0.20117013, 0.5745443, -0.6639454, 0.4342878
329969.76103075, 000092, -0.13190207, -0.16079259, 0.030932479, -0.20311394, 0.57786596, -0.6625927, 0.43102974
329969.794367291, 000093, -0.13240108, -0.16121708, 0.033019096, -0.20640497, 0.5817044, -0.6604749, 0.4275393
329969.827708416, 000094, -0.13296314, -0.16112189, 0.034766406, -0.21040426, 0.58409685, -0.65934664, 0.42405525
329969.861047041, 000095, -0.13295357, -0.16099674, 0.03637761, -0.21244971, 0.58568627, -0.66029996, 0.41933364
329969.894383708, 000096, -0.13264996, -0.16088171, 0.037928574, -0.21379012, 0.5869115, -0.6617236, 0.41466928
329969.92772525, 000097, -0.13208857, -0.16094014, 0.039348558, -0.21522579, 0.5875943, -0.66311014, 0.41072577
329969.961064041, 000098, -0.13158292, -0.16126278, 0.04087662, -0.21505156, 0.5893261, -0.66374093, 0.4073028
329969.994400083, 000099, -0.13136263, -0.16175708, 0.0423892, -0.21466303, 0.59187955, -0.66261125, 0.40564108
329970.027741083, 000100, -0.13179371, -0.16190964, 0.043682482, -0.21523787, 0.5934097, -0.66072345, 0.40617993
329970.061080416, 000101, -0.13175513, -0.16215563, 0.044628456, -0.21633531, 0.5957509, -0.6580433, 0.4065203
329970.09441625, 000102, -0.13130938, -0.16244608, 0.045538493, -0.21702503, 0.59839046, -0.655694, 0.4060718
329970.127756916, 000103, -0.13132164, -0.16235584, 0.046383377, -0.21747291, 0.59836787, -0.6559181, 0.40550327
329970.1610965, 000104, -0.131072, -0.16260208, 0.046955578, -0.21675014, 0.59813094, -0.65713733, 0.40426376
329970.194433083, 000105, -0.13065666, -0.16314282, 0.047737855, -0.21547873, 0.598653, -0.65733325, 0.40385205
