timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
329966.8175714167, 0.428259356841445, -8.126599477529526, -5.619165471196175, -0.03652380779385567, -0.05759911611676216, -0.029009202495217323
329966.8275434167, 0.4540058898925782, -8.149501851797105, -5.669460881352425, -0.028876807540655136, -0.05015771463513374, -0.0297828521579504
329966.83751441666, 0.4490660890191794, -8.110583369135856, -5.723199716806412, -0.02499684877693653, -0.040058206766843796, -0.02489408850669861
329966.8474854167, 0.42960655532777314, -8.080944417715074, -5.777835515141487, -0.0258296187967062, -0.03390311077237129, -0.015955720096826553
329966.8574564167, 0.3611988465115428, -8.06911959350109, -5.824837773442269, -0.02572798542678356, -0.03562929481267929, -0.007838252931833267
329966.86742741667, 0.3180885314941406, -8.120911890864372, -5.865553105473519, -0.02354579046368599, -0.027413977310061455, -0.0006708875298500061
329966.8773984167, 0.2779718812555075, -8.184828974604606, -5.876779759526253, -0.018462710082530975, -0.017577864229679108, 0.0008093244396150112
329966.88737041666, 0.28321102302521467, -8.19171465575695, -5.8803722888231285, -0.015506867319345474, -0.013909358531236649, 0.007604646496474743
329966.8973414167, 0.2808160034939647, -8.18497866332531, -5.861960576176644, -0.00776281114667654, -0.008813941851258278, 0.0053593069314956665
329966.9073124167, 0.29788051765412094, -8.14516146361828, -5.8116651660203935, -0.006952943280339241, -0.0028537875041365623, 0.0077851805835962296
329966.91728341667, 0.3394939820095897, -8.073909047842026, -5.775739873051644, -0.003863947931677103, -0.0008510847110301256, 0.008205296471714973
329966.9272544167, 0.35730693977326156, -8.00819628417492, -5.779182713627815, 0.002994224429130554, -0.0017746689263731241, 0.001305311918258667
329966.93722641666, 0.37212612312287097, -7.97466601073742, -5.783224893808365, 0.019118864089250565, -0.0018023658776655793, -0.0005919239483773708
329966.9471974167, 0.4150867859646678, -7.993675893545151, -5.755681584477425, 0.030859410762786865, -0.004831445403397083, -0.006435165647417307
329966.9571684167, 0.4381388489529491, -8.038583094477653, -5.683081970214844, 0.03853572532534599, -0.0018952373648062348, -0.007976344786584377
329966.96713941667, 0.42077492080628875, -8.092770411372186, -5.64386411011219, 0.0330384261906147, 0.0025482468772679567, -0.00877529289573431
329966.9771104167, 0.3929328187555075, -8.076154378652573, -5.640271580815315, 0.026548633351922035, 0.0010021422058343887, -0.008661322295665741
329966.9870814167, 0.3971240663900972, -8.042324727773666, -5.592071812748909, 0.019553840160369873, -0.00563924852758646, -0.004147530999034643
329966.9970534167, 0.42616371475160125, -7.976311417222023, -5.589377415776253, 0.009819187223911285, -0.015563517808914185, 0.0039378260262310505
329967.0070244167, 0.46657959625124934, -7.931405385732651, -5.577551422119141, 0.00700342794880271, -0.03600247949361801, 0.011275367811322212
329967.01699541666, 0.49412246704101564, -7.938441925048829, -5.514533640146256, 0.0030755805782973766, -0.049595385789871216, 0.017744040116667747
329967.0269664167, 0.5038521607965232, -7.970773519277573, -5.445525970458984, -0.003443571273237467, -0.05064360797405243, 0.021330518648028374
329967.0369374167, 0.47601005874574187, -8.01852422118187, -5.441334686279297, -0.009953910484910011, -0.046980760991573334, 0.0249471515417099
